Unicode,CNS11643,EUC,倉頡碼,注音碼
E000,12-746A,8EACF4EA,中廿中月,ㄇㄢˇ
E001,4-454D,8EA4C5CD,一口一田土,ㄓㄣ/ㄧㄣ
E002,13-7C7A,8EADFCFA,一火心月金,ㄓㄣ
E003,4-346A,8EA4B4EA,廿大戈月,ㄩˋ
E004,15-4651,8EAFC6D1,人廿手月,ㄐㄧㄥ
E005,5-3B2C,8EA5BBAC,女火中手,ㄩˋ
E006,15-2E6F,8EAFAEEF,女尸大口,ㄑㄩㄣˊ
E007,3-5C28,8EA3DCA8,人土竹日火,ㄓㄨㄟ/ㄓㄨㄣˇ/ㄧㄢˋ
E008,13-7275,8EADF2F5,一火卜月金,ㄓㄣ
E009,3-5532,8EA3D5B2,水竹弓火,ㄈㄥˊ
E00A,15-5173,8EAFD1F3,廿竹弓木,ㄌㄧˊ
E00B,3-2B7E,8EA3ABFE,女卜竹女,ㄧ
E00C,15-3976,8EAFB9F6,卜木土,ㄊㄨˊ
E00D,3-3536,8EA3B5B6,女大戈月,ㄓㄡˊ/ㄓㄨˊ
E00E,3-3B6E,8EA3BBEE,手卜尸人,ㄐㄧㄝˊ
E00F,3-5A73,8EA3DAF3,女火廿田廿,ㄊㄧˇ
E010,3-5E2C,8EA3DEAC,山山十廿,ㄈㄥ
E011,3-5130,8EA3D1B0,木日弓木,ㄒㄧㄢˊ
E012,4-404C,8EA4C0CC,廿廿土大,ㄇㄧˇ/ㄇㄧˊ
E013,3-266F,8EA3A6EF,一土弓木,ㄗˇ
E014,15-6344,8EAFE3C4,女火竹人大,ㄨㄟˊ
E015,15-4348,8EAFC3C8,一土卜口弓,ㄊㄧㄥˊ
E016,4-5064,8EA4D0E4,木廿金木,ㄈㄣ
E017,3-4D38,8EA3CDB8,一土手十一,ㄓˋ/ㄨㄟˋ
E018,11-7131,8EABF1B1,竹難月,ㄧㄣˋ
E019,15-2C57,8EAFACD7,心月女金,ㄓㄣ
E01A,3-2329,8EA3A3A9,十廿,ㄅㄣ/ㄏㄨㄟˋ/ㄙㄚˋ
E01B,3-3224,8EA3B2A4,水人弓人,ㄒㄩㄢˊ/ㄒㄩㄢˋ
E01C,3-572E,8EA3D7AE,竹日大一口,ㄧˇ
E01D,5-2A7D,8EA5AAFD,竹弓木,ㄗˇ
E01E,5-2F7E,8EA5AFFE,廿尸卜卜,ㄩˇ
E01F,5-594A,8EA5D9CA,一月水卜戈,ㄒㄩㄢˋ
E020,6-5171,8EA6D1F1,十一土山,ㄅㄠˇ
E021,9-7576,8EA9F5F6,女竹十十,
E022,12-3830,8EACB8B0,心月一金,ㄓㄣ
E023,13-7275,8EADF2F5,一火卜月金,ㄓㄣ
E024,15-237D,8EAFA3FD,山金尸竹,ㄈㄣ/ㄈㄣˋ
E025,15-3976,8EAFB9F6,卜木土,ㄊㄨˊ
E026,15-4364,8EAFC3E4,一土人一女,ㄩˊ
E027,15-5E26,8EAFDEA6,戈心竹水口,ㄌㄧㄣˊ
E028,15-6962,8EAFE9E2,竹金竹月,ㄐㄧㄣˇ
E029,14-417D,8EAEC1FD,廿竹木心,ㄙㄨㄟˋ
E02A,4-4C6D,8EA4CCED,廿戈火手,ㄒㄧㄤˊ
E02B,3-3024,8EA3B0A4,口山人弓,ㄧㄣˊ
